Mann {m}	adam
Baum {m}	ağaç
Schlüssel {m}	anahtar
Störung {f}	arıza
Vater {m}	baba
Garten {m}	bahçe
Fisch {m}	balık
Balkon {m}	balkon
Bank {f}	banka
Glas {n} [zum Trinken]	bardak
Wächter {m}	bekçi
ich	ben
Hals {m}	boğaz
Bosporus {m}	Boğaz
heute	bugün
Wolke {f}	bulut
hier	burada
Eis {n}	buz
Tasche {f}	çanta
Tee {m}	çay
Blume {f}	çiçek
Kind {n}	çocuk
Brieftasche {f}	cüzdan
Welle {f}	dalga
Heft {n}	defter
Meer {n}	deniz
Unterricht {m}	ders
Schrank {m}	dolap
Laden {m}	dükkan
Brot {n}	ekmek
Haus {n} [Gebäude, Astr.]	ev
Bäckerei {f}	fırın
Zeitung {f}	gazete
Schiff {n}	gemi
Eingang {m}	giriş
Himmel {m}	gök [gökyüzü]
Streik {m}	grev
Sonne {f}	güneş
Handtuch {n}	havlu
Tier {n}	hayvan
Bahnhof {m}	istasyon
Papier {n}	kağıt
Stift {m} [zum Schreiben]	kalem
Lkw {m}	kamyon
Tür {f}	kapı
Schnee {m}	kar
wer	kim
Buch {n}	kitap
Hund {m}	köpek
Brücke {f}	köprü
Warteschlange {f}	kuyruk
Spiel {n}	maç
Tisch {m}	masa
Frucht {f}	meyve
Gast {m}	misafir
Fluss {m}	nehir
wo	nerede
Lehrer {m}	öğretmen
Schule {f}	okul
Wald {m} [großer]	orman
Bus {m}	otobüs
Geld {n}	para
Bild {n}	resim
Krieg {m}	savaş
Prüfung {f} [Examen]	sınav
Nebel {m}	sis
Wasser {n}	su
Milch {f}	süt
Acker {m}	tarla
Nachtisch {m}	tatlı
Festakt {m}	tören
Zug {m}	tren
Salz {n}	tuz
es gibt	var
Fett {n}	yağ
morgen	yarın
Essen {n}	yemek
es gibt nicht	yok
Strasse	yol
Passagier {m}	yolcu
unterwegs	yolda
