verstehen	anlamak
warten	beklemek
einsteigen	binmek
zusammen	birlikte
reichlich [viel]	bol bol
arbeiten	çalışmak
meinen	demek
hören	dinlemek
ausruhen	dinlenmek
draußen	dışarı
tun	etmek
verbringen	geçirmek
kommen	gelmek
normalerweise	genellikle
gehen	gitmek
sehen	görmek
sonnen [sich]	güneşlenmek
weiden	gütmek
gleich	hemen
drinnen	içeride
Arbeit	iş
abfahren [aufstehen]	kalkmak
verdienen [bestehen]	kazanmak
rennen	koşmak
Vogel	kuş
lernen	öğrenmek
lesen	okumak
sein	olmak
sitzen	oturmak
spielen	oynamak
kochen	pişirmek
lieben [mögen]	sevmek
schauen	seyretmek
Fahrer	söför
fragen	sormak
sagen	söylemek
dauern	sürmek
schmecken	tatmak
aufräumen	toplamak
salzen	tuzlamak
fliegen	uçmak
aufwachen	uyanmak
entsprechen [anpassen]	uymak
schlafen	uyumak
machen	yapmak
leben	yaşamak
essen	yemek
aufladen	yüklemek
laufen	yürümek
schwimmen	yüzmek
