lachen	gülmek
warum	niçin [neden]
wann	ne zaman
was	ne
wie	nasıl
wer	kim
rufen	çağırmak
zurückkehren	dönmek
ermüden	yorulmak
nehmen [kaufen]	almak
verkaufen	satmak
vermissen	özlemek
vorbeikommen [vorbeigehen]	uğramak
wollen [mögen]	istemek
anbrennen [verbrennen]	yanmak
Licht	ışık
waschen [abwaschen]	yıkamak
beginnen [Schule, sich öffnen]	açılmak
heiraten	evlenmek
singen	şarkı söylmek
erklären	anlatmak
was alles	neler
abfahren [sich bewegen]	harket etmek
bis [wie, ne kadar]	kadar
Theater	tiyatro
