Mund	ağız
Gedächtnis	akıl
suchen	aramak
sprechen [von, erwähnen]	bahsetmek
gucken [anschauen]	bakmak
Belgien	Belçika
mitteilen	bildirmek
enden	bitmek
Nase	burun
Markt	çarşı
hinausgehen	çıkmak
Minute	dakika
Haltestelle	durak
fallen	düşmek
Messe	fuar
passieren [vorbeigehen]	geçmek
Braut	gelin
hereinkommen	girmek
Nachricht	haber
Geschenk	hediye
schenken	hediye etmek
aussteigen	inmek
Name	isim
Erlaubnis [Urlaub]	izin
Boot	kayık
Schloss [Verschluss]	kilit
von wem	kimden
wem (zu wem)	kime
Turm	kule
Brief	mektup
woher	nereden
wohin	nereye
worauf [wozu]	neye
Mittag	öğle
zuerst [vorher]	önce
Basar	pazar
Post	posta
Projekt	proje
Schloss [Burg]	şato
Chef	şef
Stadt	şehir
Sekretär	sekreter
Sekretariat	sekreterlik
Gruß	selam
danach [später]	sonra
genau	tam
einzeln	tek
wieder [nochmal]	tekrar
Rasur	tıraş
Tunnel	tünel
verabschieden [jmd.]	uğurlamak
Universität	üniversite
Zeit	vakit
Fähre	vapur
ankommen	varmak
helfen	yardım etmek
Heimat [Heim]	yurt
