eilig	acele
beeilen [sich]	acele etmek
öffnen [eröffnen]	açmak
Einkauf [Handel]	alışveriş
werfen	atmak
anfangen	başlamak
treten [drücken]	basmak
gemeinsam	beraber
beenden	bitirmek
streichen [färben]	boyamak
so [derartige]	böyle
Müll	çöp
achten [aufpassen]	dikkat etmek
anfassen [berühren]	dokunmak
spazieren [bummeln]	dolaşmak
anhalten [aufhören]	durmak
viel [zu viel]	fazla
verzögern	gecikmek
verspäten	geç kalmak
Auge	göz
trinken [rauchen]	içmek
verpassen	kaçırmak
fliehen	kaçmak
dort	orada
Überraschung	sürpriz
geben	vermek
langsam [schwach,leise]	yavaş
Fußgänger	yaya
schreiben	yazmak
Futter	yem
schließen	yummak
