
niedrig	alçak
Lift	asansör
Aspirin	asprin
Garten	bahçe
Gebäude	bina
frei [leer]	boş
Kiosk [Büfett]	büfe
Büro	büro
groß	büyük
hässlich	çirkin
Wüste	çöl
Wand [Mauer]	duvar
Apotheke	eczane
Strom [Elektrizität]	elektrik
alt	eski
Preis	fiyat
schön	güzel
Krankheit	hastalık
Wetter {n}	hava
Leben	hayat
dünn	ince
Rabatt	indirim
Schweiz	İsviçre
gut	iyi
Cafeteria	kafeterya
dick	kalın
Katze	kedi
Arm	kol
leicht	kolay
schlecht	kötü
Dorf	köy
klein	küçük
Bibliothek	kütüphane
Hafen	liman
Küche	mutfak
Museum	müze
Musik	müzik
Hotel	otel
Autobahn	otoyol
teuer	pahalı
Seife	sabun
Wahl	seçim
Zucker	şeker
warm	sıcak
Zigarette	sigara
Klasse	sınıf
Grenze	sınır
kalt	soğuk
Straße	sokak
Tafel	tahta
Huhn	tavuk
Telefon	telefon
Flugzeug	uçak
billig	ucuz
fern	uzak
nah	yakın
neu	yeni
Platz [Ort]	yer
hoch	yüksek
schwer	zor
