Afrika	Afrika
Anladım	Ich habe verstanden.
Arap [-bı]	Araber[in]
Arapça	Arabisch
Asya	Asien
Avrupa	Europa
bekär	ledig
bence	meiner Meinung nach
bilgisayar	Computer
bu da	und das
bunlar	diese [Pl.]
büyük [-üğü]	groß
Çin	China
Çince	Chinesisch
dergi	Zeitschrift
dil	Zunge [Sprache]
disket	Diskette
dolap [-bı]	Schrank
erkek [-eği]	Mann [Junge]
eski	alt
Farsça	Persisch
fotojenik [-iği]	fotogen
Fransizca	Französisch
gazete	Zeitung
Harika!	Wunderbar!
hayatta	am Leben
hepsi	alle
Irak	Irak
ilginç [-ci]	interessant [i...]
ince	dünn
İngilizce	Englisch
ise [nachgest]	hingegen [jedoch]
İspanyol	Spanier
İspanyolca	Spanisch
İsveççe	Schwedisch
İtalyanca	Italienisch
kaç?	wie viel[e]?
kadın	Frau
kalem	Stift
kalın	dick
kısa	kurz
kıskanç [-cı]	eifersüchtig
kitap [-bı]	Buch
kolay	leicht
küçük [-üğü]	klein
Kürt	Kurde
Lehçe	Polnisch
maalesef	leider
Macar	Ungar
Macarca	Ungarisch
masa	Tisch
Mısır	Ägypten
Nefertiti	Nofretete
nişanlı	verlobt
öbür	andere
öğreniyorum	ich lerne
romantik [-iği]	romantisch
Rusça	Russisch
sandalye	Stuhl
sayı	Zahl
sempatik [-iği]	sympathisch
seni	dich
seviyorum	ich liebe
smayli	Smiley
sözlük [-üğü]	Wörterbuch
Süper!	Super!
şu	das da
uzun	lang
üzgün	traurig [betrübt]
yani	also das heißt
yatak [-ağı]	Bett
yeni	neu
Yunanca	Griechisch
zor	schwierig
