alışveriş	Einkauf
anlamak	verstehen
arkadaş	Freund [Kamerad]
başka	andere
bay	Herr
bayan	Dame
belki	vielleicht
beni	mich
berbat	miserabel
bile [nachgest.]	sogar
böyle	so
bulmak	finden
burada	hier
çalışmak	arbeiten
çay	Tee
çocuk	Kind
çok şükkür	Gott sei Dank
çünkü	weil [denn]
demek [diyor]	sagen
ders	Unterricht [Lektion]
döner	Döner
ev	Haus [Wohnung]
galiba	warscheinlich [höchst-]
Geçmiş olsun.	Gute Besserung!
görmek	sehen
hadi	also [auffordernd]
Haklısınız.	Sie haben Recht.
hangi	welche?
hava	Wetter
hem ... hem ...	sowohl ... als auch
Hem de nasıl!	Und wie!
hemen	gleich
hep	stets [ständig]
hiç	nichts
içmek	trinken
İngiltere	England
istasyon	Bahnhof
istemek	wollen
istiyorum	ich will
iş	Arbeit
kahve	Kaffe
karşıda	gegenüber
Kıbrıs	Zypern
kimde?	bei wem?
kişi	Person
konuşmak	sprechen [reden]
kurs	Kurs
Londra	London
Moskova	Moskau
Ne diyorsun!	Was du nicht sagst!
Ne sanıyorsun!	Was glaubst Du!
neden?	warum?
nerede?	wo?
niçin	weshalb
Norveç	Norwegen
numara	Nummer
okul	Schule
okumak	lesen
orada	dort [da]
oturmak	wohnen [sitzen]
öğrenmek	lernen
park	Park
plaj	Strand
Polonya	Polen
postane	Postamt
Rusya	Russland
rüya	Traum
rüya görmek	träumen
Sahi mi?	Wirklich? [Echt?]
sanmak	glauben [meinen]
sevmek	lieben
sigara	Zigarette
sigara içmek	rauchen
sizler	ihr alle [Sie alle]
sokak [-aği]	Straße
sormak	fragen
spor yapmak	Sport treiben
şu sıralar	derzeit
şurada	da
tabii	natürlich [aber ja]
tesadüf	Zufall
teşekkürler	danke
Tunus	Tunesien
tuvalet	Toilette
üniversite	Universität
üşümek	frieren
yabancı	Ausländer [fremd]
yabancı dil	Fremdsprache
yapmak	machen
Yazık!	Schade!
yazmak	schreiben
yemek yemek [yiyor]	essen
