almak	nehmen [kaufen]
avukat	Anwalt
banka	Bank
bar	Bar
binmek [-(y)A]	einsteigen
bira	Bier
buçuk [-uğu]	halb [b...]
bugün	heute
buradan	von hier
buraya	hierher
Buyurun!	Bitteschön!
büfe	Imbisstube [Kiosk]
büro	Büro
çıkmak [-DAn]	hinausgehen
çöp	Müll
çöpçü	Müllmann
disko [thek, -iği]	Diskothek
diş	Zahn
dişçi	Zahnarzt
domates	Tomate
dönmek [-DAn]	zurückkehren [von]
dönerci	Dönerverkäufer
eczane	Apotheke
ekmek	Brot
elma	Apfel
emekli	Rentner
erken	früh
ev hanımı	Hausfrau
Eyvah!	O Schreck!
Eyvallah.	Tschüss!
firma	Firma
Fransa	Frankreich
futbol	Fußball
futbolcu	Fußballer
gazeteci	Journalist
geç	spät
gelmek	kommen
gitmek [gidiyor]	gehen [fahren]
hastane	Krankenhaus
inmek [-DAn]	aussteigen [aus]
iş yapmak	beruflich machen
işçi	Arbeiter
işsiz	arbeitslos
kafeterya	Cafeteria
kalkmak	aufstehen
kapı	Tür
kapıcı	Pförtner [Hauswart]
kimler?	wer alles?
kitapçı	Buchhändler
konser	Konzert
kuaför	Frisör
kütüphane	Bibliothek
lise	Gymnasium
lokanta	Gaststätte
metro	U-Bahn
müze	Museum
ne kadar?	wie viel?
nereden?	woher
nereye?	wohin?
normal [-li]	normal
normal olarak	normalerweise
opera	Oper
oradan	von dort
oraya	dorthin
otobüs	Bus
Öf!	Oje! [Auweia!]
öyleyse	wenn das so ist dann
peynir	Käse
posta	Post
postacı	Briefträger
Rica ederim	Ich bitte (sehr).
saat [-ti]	Uhr [Stunde]
salatalık [-ığı]	Salatgurke
sekreter	Sekretär
sinema	Kino
su	Wasser
şimdi	jetzt
şuraya	dahin
Tamam	Alles klar. [Fertig.]
tane	Stück
taze	frisch
tiyatro	Theater
ya [nachgest.]	doch [erinnerned]
yarım	halb [y...]
yatmak	zu Bett gehen
