adres	Adresse
ağaç [-cı]	Baum
ağrımak	wehtun
anahtar	Schlüssel
anne	Mutter
ateş	Feuer [Fieber]
ayna	Spiegel
baba	Vater
bakmak	schauen
Bak hele ...	Schau einer an!
bana	[zu] mir
baş	Kopf [Haupt]
bebek [-eği]	Baby
bikini	Bikini
bisiklet	Fahrrad
bloknot	Notizblock
bozuk [-uğu]	kaputt [auch: klein]
can	Seele [Leben]
cep [-bi]	Tasche [Kleidung]
cep telefonu	Handy
cevap [-bi]	Antwort
çakmak [-ağı]	Feuerzeug
çanta	Tasche
defter	Heft
duş	Dusche
eş	Ehepartner[in]
eşek [-eği]	Esel
faks	Fax
fare	Maus
fritöz	Friteuse
gözlük [-üğü]	Brille
hangisi?	welche [von denen]?
hem de	und sogar
hiçbirsi	keines [von denen]
horoz	Hahn
için	für [um zu]
isim [-smi]	Name
İşim var.	Ich habe zu tun.
işte	da! [Deutewort]
kağıt [-dı]	Papier
kartvizit	Visitenkarte
kedi	Katze
kız	Mädchen [Tochter]
kimden?	von wem? [vor wem]
kime?	[zu] wem?
kimin?	wessen?
kompleks	Komplex
korkmak [-DAn]	Angst haben [vor]
köpek [-eği]	Hund
kravat	Kravatte
limonata	Limonade
maç	Spiel [Match]
manto	Mantel
Maşallah!	Großartig!
mektup [-bu]	Brief
mendil	Taschentuch
mesaj	Nachricht
muz	Banane
Noel Baba	Weihnachtsmann
oğul [-ğlu]	Sohn
otomat	Automat
otomobil	Automobil
öpücük [-üğü]	Küsschen
papağan	Papagei
para	Geld
pardösü	Übergangsmantel
pijama	Pyjama
Polonyalı	Pole
radyo	Radio
rakı	Raki
rica [-DAn]	Bitte [an]
sana	[zu] dir
Sana ne!	Was geht dich das an!
saniye	Sekunde
soru	Frage
şemsiye	Schirm
takvim	Kalender
tarak [-ağı]	Kamm
tatlı	süß
televizyon	Fernseher
tişört	T-Shirt
top	Ball
tost	Toast
uymak [-(y)A]	passen [zu]
uyku	Schlaf
vakit [-kti]	Zeit
video	Video
viski	Whiskey
yalnız	nur
yaşında	im Alter von [alt]
yavaş	langsam
yoğurt [-du]	Joghurt
yoksa	wenn nicht [oder aber]
Yoo ...	Nee!
