akıl [-klı]	Verstand [Vernunft]
akşam	Abend
Allah Allah ...	O Gott o Gott!
araba	Auto [Wagen]
arkeolog	Archäologe
arkeoloji	Archäologie
artık	nunmehr
aşk	Liebe
atasözü	Sprichwort
ayıp [-bı]	Schande
bazen	manchmal
bilgi	Information [Wissen]
bilişimci	Informatiker
bozuk çalmak	sauer sein
Canım istemiyor.	Ich habe keine Lust.
Canım sıkılıyor.	Ich langweile mich.
cinsiyet	Geschlecht
çabuk [-uğu]	schnell
çalmak	spielen [Instrument]
çalışmak	lernen
daire	Wohnung
dans etmek	tanzen
depresyon	Depression
dijital [-li]	digital
dinlemek	zuhören [anhören]
doğum	Geburt
dul	verwitwet
edebiyat	Literatur
ekonomi	Ökonomie
enformatik	Informatik
enstitü	Institut
etmek [ediyor]	tun
etnoloji	Ethnologie
evlenmek [ile]	verheiraten [sich mit]
falan filan	und so weiter [so fort]
fotoğraf	Fotografie
fotoğraf çekmek	fotografieren
gitar	Gitarre
grip [-bi]	Grippe
hala	immer noch
hayal [-li]	Phantasievorstellung
Haydi hayırlısı.	Na, dann mal zu!
henüz	noch nicht
hobi	Hobby
hukuk	Jura
ile	mit
internet	Internet
işte	eben [halt]
izlemek	ansehen [verfolgen]
kart	Karte
kartpostal	Ansichtskarte
kaset	Kassette
kat	Stockwerk
kiminle?	mit wem?
kişisel	persöhnlich
kredi	Kredit
kriz	Krise
maden suyu	Mineralwasser
makine [makina]	Maschine [Apparat]
maliye bakanı	Finanzminister
medini durum	Familienstand
mesala	zum Beispiel
meyve	Obst
meyve suyu	Obstsaft
milyoner	Millionär
motosiklet	Motorrad
müzik	Musik
neler?	was alles?
neyle?	womit?
O kadar.	So viel.
okumak	lesen [studieren]
olmak	sein [werden]
oynamak	spielen
öğretmek	lehren
öpmek	küssen
pasaport	Reisepass
pedagoji	Pädagogik
pişirmek	kochen
posta kodu	Postleitzahl
problem	Problem
restoran	Restaurant
sadece	lediglich
sayın	sehr geehrter
sevgi	Liebe
sevgili	lieber [Geliebter]
seyahat	Reise
seyahat etmek	reisen
sosyoloji	Soziologie
sörf yapmak	surfen
şans	Chance [Glück]
şarkı söylemek	singen
şehir	Stadt
taksi	Taxi
tarih	Datum [Geschichte]
televizyon izlemek	fernsehen
tenis oynamak	Tennis spielen
tıp	Medizin
tramvay	Straßenbahn
tren	Zug
Türkoloji	Turkologie
uçak	Flugzeug
ülke	Land
vapur	Dampfschiff
vergi	Steuern
yaş	Alter
yemek pişirmek	kochen
yer	Ort [Platz, Fußboden]
yürüyerek	zu Fuß [=laufend]
yüzmek	schwimmen
zam	Erhöhung
